Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788816124,9,,Aggregated,5.000000,2.000000,7,9,10,12,26,41,310,390,490,490,490,230,92,7,17.684843478744607,1.458899991121143,485.3171999566257,1340.7521739130434
1788816125,9,,Aggregated,5.000000,2.000000,7,9,10,12,26,41,310,390,490,490,490,236,96,7,17.347445763288444,1.458899991121143,485.3171999566257,1312.3474576271187
1788816126,9,,Aggregated,5.200000,2.000000,7,9,10,12,24,41,310,390,490,490,490,243,101,7,16.97645843682481,1.458899991121143,485.3171999566257,1289.1440329218108
1788816127,9,,Aggregated,5.200000,2.200000,7,9,10,12,24,41,310,390,490,490,490,247,104,7,16.768571255428846,1.458899991121143,485.3171999566257,1271.2348178137652
1788816128,9,,Aggregated,5.600000,2.500000,7,9,10,12,22,41,74,390,490,490,490,253,107,7,16.535778656250358,1.458899991121143,485.3171999566257,1258.695652173913
1788816129,9,,Aggregated,5.600000,2.500000,7,9,10,11,22,41,74,390,490,490,490,259,110,7,16.294836679753995,1.458899991121143,485.3171999566257,1247.8108108108108
1788816130,9,,Aggregated,5.500000,2.600000,7,9,10,11,20,41,74,390,490,490,490,262,112,7,16.169222519432644,1.458899991121143,485.3171999566257,1238.824427480916
1788816131,9,,Aggregated,5.700000,2.900000,7,9,10,11,20,41,74,390,490,490,490,267,114,7,16.018942697409695,1.458899991121143,485.3171999566257,1234.8202247191011
1788816132,9,,Aggregated,5.100000,2.600000,7,9,10,12,20,41,74,390,490,490,490,270,115,7,15.93262851906561,1.458899991121143,485.3171999566257,1231.6925925925925
1788816133,9,,Aggregated,5.000000,2.600000,7,9,10,11,19,41,74,390,490,490,490,277,121,7,15.653959206693775,1.458899991121143,485.3171999566257,1208.0649819494586
1788816134,9,,Aggregated,4.900000,2.600000,7,9,10,12,20,41,74,390,490,490,490,280,122,7,15.672402143536601,1.458899991121143,485.3171999566257,1239.7178571428572
1788816135,9,,Aggregated,5.100000,2.900000,7,9,10,11,19,41,74,390,490,490,490,286,126,7,15.464085315425809,1.458899991121143,485.3171999566257,1221.2972027972028
1788816136,9,,Aggregated,5.000000,3.000000,7,9,10,11,19,41,74,390,490,490,490,291,129,7,15.390667354662446,1.458899991121143,485.3171999566257,1243.0824742268042
1788816137,9,,Aggregated,4.900000,3.000000,7,9,10,11,19,41,74,390,490,490,490,297,132,7,15.198094613523997,1.458899991121143,485.3171999566257,1232.969696969697
1788816138,9,,Aggregated,4.600000,2.600000,7,9,10,11,19,41,54,310,490,490,490,304,137,7,15.052640461362898,1.458899991121143,485.3171999566257,1245.1019736842106
1788816139,9,,Aggregated,4.800000,2.800000,7,9,10,11,19,41,54,310,490,490,490,308,140,7,14.912386039875194,1.458899991121143,485.3171999566257,1232.5454545454545
1788816140,9,,Aggregated,4.900000,3.000000,7,9,10,11,18,41,54,310,490,490,490,315,144,7,14.726271111858152,1.458899991121143,485.3171999566257,1222.5142857142857
1788816141,9,,Aggregated,4.800000,2.900000,7,9,10,11,19,41,54,310,490,490,490,320,148,7,14.672454063475016,1.458899991121143,485.3171999566257,1241.19375
